texts,created_at,location
@McDonaghDJ @GNev2 Nearly all Muslim countries culture has women wearingHijab in certain situations? What we shouldn’t do is compare an extremist Muslim country like Iran with others? Should we say Americans are extremist fir banning abortion?,2022-10-06,"Stockton-on-Tees, England"
"@AngrySunTzu The president of Indonesia is a pro-communist China. Indonesian Muslims who oppose Chinese communists will be imprisoned. Don't blame Indonesian Muslims
The Indonesian government is in a lot of debt with the savage communist China.

MY PRESIDEN IS DICTATOR",2022-10-06,
What Islam has established for hijab is not a restriction on the freedom of women but is a firm protection for her from falling down to the lowest levels of humiliation.,2022-10-06,
"@RozRothstein @JewishJournal @StandWithUs • One of my great-grandparents lived in Israel in the 1950s. He always said to us: “We cannot divorce ourselves from Palestinians. Some of my Muslim Palestinian neighbors were literally 2nd-cousins of my Jewish neighbors. In our little village, we were a community…”",2022-10-06,"San Diego, CA"
"Some scholars, Islamic movements and Muslims are trying to run away from these two stations:

a) Jihad fe Sabeelillah
b) al-Walaa wal Bara",2022-10-06,
"@NakissaAria K. That's 'virtually all muslims,' but what do you, as an individual, think?",2022-10-06,
@rodupgrao @azizkavish @0 &gt;Ignores the entire mob of people brandishing weapons to pinpoint the one dude who’s wearing a cap to go “Muslims so bad omg” wah,2022-10-06,
@GadSaad I’d say it’s the religion of post modern progressivism and Islam equally.,2022-10-06,
@ilovemyx @ShibiPayamal @vijaygajera He is a muslim,2022-10-06,
@SeriousPIace oh yeah dearborn hs been majority muslim/arab since 80s,2022-10-06,
@vmeha00 Im not finished MY MIKE gave a bonus for Christmas AND EID because he knew I was Muslim. My mike wins,2022-10-06,"New York, NY"
Performative Wyte women have struck again. Instead of using their platforms to highlight actual Muslims activists and how we can help #IranProtests —they do this 😡😡😡 https://t.co/BqBbOh9JUr,2022-10-06,
@Amana_Ansari @koffee__addict The Muslims this world needs 👆,2022-10-06,
@mdubowitz At the top of the list is Batak Hossein Obama who betrayed Iranians in their first uprising during Green Movement. Sorry that we didn’t believe President Trump when he said he is a Muslim.,2022-10-06,
having physical touch as ur primary love language and being muslim is hard💔💔💔,2022-10-06,she/her
@emesskae @theaerogram I’m stating Islam’s position in a way that their own maulanas will give me full marks. This is called purva paksha.,2022-10-06,
"@sri_demosthenes @Shakes2000 @Channel4News @mohammed_hijab @darshnasoni It was hindutva instigators who went there to hurt and vandalise Muslim property 
They thought it was India where they kill and murder indiscriminately 
But Muslims came to protect their property and lives from cowards in numbers",2022-10-06,
@AAk47722104 @ermoza_judia @BluegrassRabbi Maybe b/c you’re ignoring Me’arat Hamachpelah’s significance to Jews and probably also think Jewish presence on the Temple Mount that predates any mosque is “sToRminG Al-aQSa.” What’s unreasonable is your double standard when it comes to Jewish vs Muslim access to holy sites tbh.,2022-10-06,Galus
"Synodal artwork spreads heresy.

Read more here: https://t.co/cffgQTH2O1

#catholic #CatholicTwitter #Synod https://t.co/jR4Fvhsvdi",2022-10-06,Canada | USA
@NaPakistanii 🙄 not from people who are blind to what their own country does to Muslim women.,2022-10-06,Bleak version of reality
"@BillKristol Well Billy maybe you can orchestrate a couple wars against some brown people, Muslims like you neoCONS did before huh?",2022-10-06,At your mother's 6
"All our #AMWF2022 panellists books are available now on this link to @booktopia
@therightpenco
#australianmuslimshelfspace
#australianauthors
https://t.co/GJqjzIQJzd",2022-10-06,"Adelaide, South Australia"
"@SakaLacaBoobs @GNev2 Did I? In his video his main initial thrust is about lack of drink? Muslims don’t drink, is that supporting slavery by respecting that? Certain parts of their religion are about respect, ignoring that it is ok? Someone moving from a country earning a lot more &amp; sending it home?",2022-10-06,"Stockton-on-Tees, England"
"@Awanjanw @RezaMac @RmSalih It's rather whoever has a problem with the secularization of Iran can move away. Also it seems to me that Muslims are having an easier time practicing their religion in France than say the ""Islamic"" republic where they just murdered 83 sunni protestors during friday prayer",2022-10-06,
Such a huge honour  to host this amazing Inter-Faith Team at St Cuthbert’s @churchscotland #Edinburgh today. We reach out to one another in the service of others  @iapsuk @HMC_Org @GWCandCommunity @cargilfield #judaism #islam #Christianity @SCISschools #EnlightenedEducation22 https://t.co/ZtlgmjF0fZ,2022-10-06,"Edinburgh, Scotland"
"@lastbondman @Gyuhu13 Well if you think most of the Hadith tradition is fabricated, then your position as a Muslim sorta requires you to believe that it was never necessary for the religion in the first place. Otherwise, why did God not preserve it?",2022-10-06,
"@syrupdf insane they still think ""muslims"" is an ethnicity",2022-10-06,treehouse
"@MuzzyAndo @msm_monitor @BBCDavidWL Please don't ask a Muslim or Jew what their Christian name is.
Applies to most religions 👍
Just sayin 😱😉",2022-10-06,utopia
"@the_hindu 150 to 200 Muslim Mob Start Stone Pelting If Police Not Take Action Like This Only Nine People Put On Very Minor Panelty Police Take Situation Under Control And Pervent Potential Riots 

Good Work By @GujaratPolice 🙏 

#Gujrat #Garba",2022-10-06,
The Islam faith has got UK prisons in a chokehold.,2022-10-06,
@Millenial_108 @imsharif87 @DOGA75656205 @HSajwanization @amritabhinder @khaleejtimes Can i ask you who in your faith is most mightiest  The God/ Goddess. I ask many fellow hindus but everyone has different answer. If you ask any muslim they will say I declarethere is no god only Allah and prophet mohammed saw is one of the prophet of Allah .,2022-10-06,Dhaka
"""Girl gang who kicked woman in the head while yelling 'kill the white slag' freed after judge hears 'they weren't used to drinking because they're Muslims""

""Three sisters and cousin escape with six-month suspended sentences""

https://t.co/5cwbuJWnGW",2022-10-06,North East England
@Aminu_abare Thanks my gee,2022-10-06,Kano nigeria
"@geekeasy @ChuckModi1 You just said “the one Jewish state”, so you are basing your apartheid on Religion or Ethnicity.  Aren’t Palestinians, Christian and Muslim equal partners? “Separate but equal”? Or second class? The reality is Apartheid Israel, “the one Jewish state” as you said!",2022-10-06,
"@Phoenix11618103 @FactCheckerI @ppchadha2 @RShivshankar Yes. The world is watching. It was reported that the maximum of the anti Muslims comments in twitter are made by Indians. While Chinese are silently committing methodical genocide of its Muslims, we are getting the bad name of being most hateful.",2022-10-06,
"@palkisu Nobody believes your propaganda. There is no Genocide of Muslims in Xinjiang

From a Muslim",2022-10-06,
"@RevDuv When Obama was running for President, an email group that was used for prayer requests, was used to send an email stating we better vote Republican or Obama was going to turn us into a Muslim nation. That was a CCCU church. I attended there around 14 yrs. It was eye opening.",2022-10-06,
"@SeifGebre @UN_HRC @usmissiongeneva @UKMissionGeneva @IrelandUNGeneva @NorwayInGeneva @DKUNmisgva @CanadaGeneva @GermanyUNGeneva Pakistan can not be destroyed, because Allah's help is with Pakistan. 1400 years ago Prophet Muhammad SAW made dua to Allah - to make a country where Islam will rise again. Muhammad Qasim's dreams. Muhammad Qasim Dreams   https://t.co/J9kyVKS7FD https://t.co/AeZ2yfLAqv",2022-10-06,Tunisia
@Kamru_Choudhury Thats not worthy of coverage!! How can u expect GOVT OR GODI MEDIA TO ACTUALLY PRAISE A #MUSLIM . Its not juicy enough- and WICKED ENOUGH TO GET VOTES,2022-10-06,
@_Tosin “oh i know it is” did you ? if so then why did you just say a minute ago how you only saw muslims convert and didn’t think many christians converted to islam ?,2022-10-06,
"@Th3SpicyTurtle Virtually all Muslims hold that this strategy does not benefit the Muslim nation under present circumstances, and I find this view compelling.",2022-10-06,
@bruce_steiner The essence for many is Islam and no one should undermine that. The essence for Americans is freedom and that should be respected. Nations around the world should make decisions about America based on that.,2022-10-06,"Near Valley Forge, Pa"
"@lottie_bl @RayhanAsat @LetaHong @UNHumanRights Maybe, just maybe, these countries who voted no, having Muslim majority population, know a little bit more about what is really going on in China’s Muslim region than you, so they conclude a debate is not warranted?",2022-10-06,
@Muslim_Negan @NaaShukre @fatwa_machine @Aslan_Bey_1 @Ahmadiyyafacts @IslaamWins @BladeEsq @ImTheAnonymouse Bashir is a scum who spams his nonsense on a daily basis and he if you watch his videos he’s suffering from some serious mental illness,2022-10-06,
"@bella_s369 @weimers @EvinIncir @JakopDalunde @EmmanuelMacron @POTUS If ""prochoice""  campaign is repeating officials from Iranian republic  ""freedom is in hijab"", than it is not pro-choice campaign but a glorification of hijab. 
And it is not racist to be against glorification of hijab, cause Islam is a religion NOT a race.",2022-10-06,
@caramel__queen_ Salaamu alaikum my love my beautiful in the world honestly speaking I love you I love you too Mary to have a good relationship to buy a good children to follow Islam,2022-10-06,
@AdamInHTownTX @mmpadellan He’s a Muslim cuck.,2022-10-06,"Indianapolis, IN"
"@Abdallah_islam_ Happy birthday Boss🎉
Up to finish your life😂",2022-10-06,Camp Nou
@thekinkydevil @pandaclairre @BudEmpanada @53_stormie also WHEN THE FUCK did I say that? why are you assuming palestinians want to genocide jewish people? they just need to leave the places and settlements they took and made on land that wasn't theres if they want to  allow themselves to be ruled by muslims then they can be there,2022-10-06,Santa Cruz Mountains 33
"@RmSalih In that case, I think they will reject your Islam. No problem if they're no longer ""Muslim women"", right?

What do you mean Islam demands you kill any Muslim woman who renounces Islam?? Wow, some religion you got there chief.",2022-10-06,"Gresham, OR"
@RmSalih They're insulting islam? Good.,2022-10-06,"Bae Area, California, USA"
"@Th3SpicyTurtle At any rate, I think you have a certain misconceptions about Sharia law. Under Sharia law, taking slaves (eg ""sex slaves"") is not an obligation. Rather the Imam decides whether this strategy benefits the Muslim nation and decides accordingly.",2022-10-06,
"@shanthsp2002 @zae__bee @ArunDev1 The world is focusing on development technology infrastructure education health etc bt the RSSBJP g0v are spreading hate between Hindus &amp; Muslims with with their scripted lies so that the g0v continue to loot India with the “HELP” of media, law and their 2 billionaire friends !",2022-10-06,
@Dawnsbreaker @MsMelChen The West vs Muslim Countries?,2022-10-06,
@NPR Muslims treat there woman bad. Like slave's and they kill them over Lie's like cheating and stone them to death.,2022-10-06,"Longview, WA"
"#Quran
 #quran_thedivinebook #Quranhour

 And He ( #Allah )is the #One Who has #subjected the #sea, so from it you may #eat #tender #seafood 

( 16:14 )

#Islam
#Muslim
#Muslims
#food
#sea
#ocean
#river",2022-10-06,"Jakarta, Indonesia"
"@SirGTully @RoemeltA @fridayjams @calvinrobinson Ur not silent on Muslim persecution...why don't u want others to speak up for Christians?

It's not okay to be hateful of Christians.",2022-10-06,Cymru ♡
"1/n

Generally speaking, Punjab (and Sikhs) are facing a spiritual-crisis rooted in the corruption introduced in Sikhi 120+ years ago. It is manifesting in myriad of ways on the ground - McSikhi, Khalistanis, rampant drug abuse &amp; alcoholism, conversions to Xtianity &amp; Islam etc.",2022-10-06,
"Shame on my muslim brothers in my country, Indonesia. https://t.co/yYaNM15zHO",2022-10-06,"Jakarta Capital Region, Indone"
"@Smtank2 @ishkarnBHANDARI @ikamalhaasan actually if you ask shias, sunnis are not muslims and plenty of american protestants think that catholics are not christians",2022-10-06,
@freemonotheist And in Islam ☪️ you don’t own your body it belongs to Allah and you can’t do anything against His commands,2022-10-06,"Kitchener, Ontario"
@Ahmadiyyafacts @Muslim_Negan @NaaShukre @fatwa_machine @Aslan_Bey_1 @IslaamWins @BladeEsq @ImTheAnonymouse Told by who you? All you do is lie on a daily basis,2022-10-06,
